,energy,data,data_err
188,0.096116,5.9082,0.061354
189,0.095998,6.0978,0.063342
190,0.09588,5.9773,0.061812
191,0.095763,6.1772,0.063692
192,0.095645,6.1427,0.063494
193,0.095528,5.8972,0.061131
194,0.095411,5.9478,0.061846
195,0.095295,6.0432,0.062304
196,0.095178,5.9969,0.061691
197,0.095062,6.0,0.061959
198,0.094946,6.0947,0.062887
199,0.09483,6.0031,0.06167
200,0.094714,6.1619,0.06374
201,0.094599,6.0451,0.062258
202,0.094484,6.0499,0.062488
203,0.094369,6.0758,0.062638
204,0.094254,6.1047,0.062666
205,0.09414,6.1325,0.063119
206,0.094025,6.1141,0.06276
207,0.093911,5.959,0.061283
208,0.093797,6.0566,0.06207
209,0.093683,6.0845,0.062568
210,0.09357,6.0367,0.062208
211,0.093456,6.1447,0.063091
212,0.093343,6.0568,0.062172
213,0.09323,6.0356,0.062224
214,0.093118,5.9175,0.061232
215,0.093005,6.07,0.062377
216,0.092893,6.012,0.061845
217,0.092781,6.0986,0.062272
218,0.092669,5.8695,0.060445
219,0.092279,6.0112,0.0252
220,0.091616,6.0653,0.025339
221,0.09096,6.0893,0.025473
222,0.090312,6.1347,0.025679
223,0.08967,6.0812,0.025416
224,0.089035,6.1043,0.025479
225,0.088406,6.0686,0.025334
226,0.087785,6.1131,0.025465
227,0.087169,6.1008,0.025443
228,0.086561,6.1404,0.025604
229,0.085958,6.1787,0.025653
230,0.085362,6.1593,0.02564
231,0.084772,6.2087,0.025824
232,0.084188,6.1032,0.025345
233,0.08361,6.2073,0.025774
234,0.083039,6.1181,0.025462
235,0.082472,6.1688,0.025651
236,0.081912,6.0498,0.025175
237,0.081358,6.0679,0.025216
238,0.080809,6.0314,0.025096
239,0.080265,6.09,0.025334
240,0.079727,6.1347,0.025459
241,0.079195,6.0749,0.025237
242,0.078667,6.1844,0.025743
243,0.078145,6.1553,0.025658
244,0.077628,6.1335,0.025575
245,0.077117,6.1391,0.025678
246,0.07661,6.1366,0.025632
247,0.076108,6.0914,0.025454
248,0.075611,6.1152,0.025485
249,0.075119,6.0921,0.025391
250,0.074632,6.0466,0.025183
251,0.07435,6.07,0.06171
252,0.07427,6.2156,0.062908
253,0.07419,6.0495,0.061704
254,0.07411,6.0542,0.061741
255,0.07403,6.0444,0.061795
256,0.07395,6.1181,0.062324
257,0.07387,6.0587,0.061937
258,0.073791,6.0702,0.061838
259,0.073711,6.1015,0.062298
260,0.073632,6.0681,0.06197
261,0.073553,6.0816,0.061711
262,0.073474,6.1163,0.062253
263,0.073395,6.1149,0.062372
264,0.073317,6.1716,0.062909
265,0.073238,6.141,0.062731
266,0.073159,6.0769,0.062135
267,0.073081,6.0932,0.062015
268,0.073003,6.0032,0.061317
269,0.072925,6.0275,0.061756
270,0.072847,5.9699,0.061132
271,0.072769,5.8574,0.059855
272,0.072691,6.0189,0.06105
273,0.072614,5.9192,0.060455
274,0.072536,5.9983,0.061337
275,0.072459,5.9996,0.061279
276,0.072382,6.0068,0.060898
277,0.072304,6.0462,0.061509
278,0.072227,5.8149,0.059723
279,0.072151,5.9306,0.060349
280,0.072074,6.0523,0.061488
281,0.071997,5.9587,0.060478
282,0.071921,6.018,0.061203
283,0.071844,5.9369,0.060502
284,0.071768,5.9431,0.060098
285,0.071692,5.9085,0.059927
286,0.071616,5.9313,0.060402
287,0.07154,5.9166,0.060471
288,0.071464,5.8912,0.060182
289,0.071389,5.8603,0.059736
290,0.071313,5.8221,0.059284
291,0.071238,6.0327,0.060775
292,0.071162,5.8938,0.060284
293,0.071087,5.9783,0.060793
294,0.071012,6.0355,0.061226
295,0.070937,5.8985,0.060226
296,0.070862,6.0095,0.060882
297,0.070788,5.9243,0.060145
298,0.070713,6.003,0.060834
299,0.070639,5.8652,0.059513
300,0.070564,5.9756,0.060607
301,0.07049,5.9371,0.060262
302,0.070416,5.9785,0.060483
303,0.070342,5.9825,0.060653
304,0.070268,5.9649,0.060836
305,0.070194,5.8007,0.058813
306,0.070121,5.9174,0.059982
307,0.070047,5.9961,0.060571
308,0.069974,5.9151,0.060181
309,0.0699,5.9028,0.060025
310,0.069827,6.0998,0.061806
311,0.069754,6.036,0.061018
312,0.069681,5.9115,0.059474
313,0.069608,5.9961,0.060679
314,0.069536,5.9378,0.060064
315,0.069463,5.9434,0.059953
316,0.069391,5.9084,0.059669
317,0.069318,5.8159,0.058857
318,0.069246,5.9957,0.060251
319,0.069174,5.9859,0.060301
320,0.069102,5.8895,0.059486
321,0.06903,5.764,0.058733
322,0.068958,5.7479,0.058247
323,0.068886,5.8236,0.058885
324,0.068815,5.9044,0.059674
325,0.068743,5.8611,0.058905
326,0.068672,5.8268,0.058468
327,0.068601,5.7521,0.058397
328,0.068529,5.7677,0.058571
329,0.068458,5.7908,0.058424
330,0.068387,5.7117,0.057704
331,0.068317,5.8218,0.058631
332,0.068246,5.7552,0.058405
333,0.068175,5.8313,0.05895
334,0.068105,5.7338,0.058287
335,0.067859,5.8052,0.023994
336,0.067441,5.7779,0.023945
337,0.067026,5.7829,0.023972
338,0.066616,5.8256,0.024184
339,0.066209,5.8736,0.024377
340,0.065805,5.8641,0.024403
341,0.065406,5.9015,0.024619
342,0.06501,5.9003,0.024612
343,0.064618,5.8731,0.024613
344,0.064229,5.939,0.02491
345,0.063843,5.9547,0.025013
346,0.063462,5.9505,0.025073
347,0.063083,5.9362,0.025049
348,0.062708,6.0142,0.025343
349,0.062336,5.9967,0.025285
350,0.061968,5.994,0.025267
351,0.061603,5.9098,0.024958
352,0.061241,5.9274,0.025011
353,0.060882,5.8976,0.025009
354,0.060526,5.8799,0.024909
355,0.060174,5.8444,0.024735
356,0.059824,5.8542,0.024836
357,0.059478,5.8836,0.024991
358,0.059135,5.8595,0.025035
359,0.058794,5.9236,0.025308
360,0.058457,5.8852,0.02523
361,0.058122,5.9182,0.025422
362,0.05779,5.9582,0.02566
363,0.057461,5.9353,0.025656
364,0.057135,6.0062,0.026005
365,0.056812,5.9355,0.02585
366,0.056491,5.9911,0.026138
367,0.056173,6.0238,0.02622
368,0.055858,5.9934,0.026162
369,0.055545,6.0848,0.026483
370,0.055235,6.1312,0.026771
371,0.054928,6.0546,0.026593
372,0.054623,6.1121,0.026854
373,0.054321,6.1202,0.026954
374,0.054021,6.1796,0.027308
375,0.053724,6.1631,0.027237
376,0.053429,6.1865,0.027409
377,0.053137,6.1817,0.027397
378,0.052847,6.1028,0.027101
379,0.052559,6.1507,0.027288
380,0.052273,6.1009,0.027174
381,0.05199,6.1292,0.027368
382,0.05171,6.1575,0.027586
383,0.051431,6.1874,0.027762
384,0.051155,6.1447,0.027796
385,0.050881,6.0997,0.027635
386,0.050609,6.0436,0.027332
387,0.05034,6.0428,0.02738
388,0.050072,5.9865,0.027291
389,0.049807,5.9694,0.027205
390,0.049543,5.9672,0.02729
391,0.049282,6.0309,0.027719
392,0.049023,6.0155,0.027693
393,0.048766,6.0514,0.027873
394,0.048511,6.0388,0.027827
395,0.048258,6.1036,0.02816
396,0.048007,6.1569,0.028403
397,0.047758,6.0871,0.028263
398,0.047511,6.168,0.028668
399,0.047265,6.2528,0.029014
400,0.047022,6.1888,0.028873
401,0.04678,6.2401,0.02914
402,0.046541,6.2521,0.02924
403,0.046303,6.1689,0.028979
404,0.046067,6.1653,0.029022
405,0.045833,6.2259,0.029418
406,0.0456,6.1614,0.029296
407,0.04537,6.1773,0.029506
408,0.045141,6.1655,0.029581
409,0.044913,6.0846,0.029195
410,0.044688,6.0343,0.029022
411,0.044464,6.0738,0.029221
412,0.044242,5.9689,0.028967
413,0.044022,6.0229,0.029332
414,0.043803,6.0213,0.029383
415,0.043586,6.0734,0.029614
416,0.04337,6.0735,0.029633
417,0.043156,6.094,0.029726
418,0.042944,6.113,0.029911
419,0.042733,6.1051,0.029915
420,0.042524,6.11,0.030042
421,0.042316,6.078,0.029929
