 ,stack,counts,err
1100,1100,14379.000,119.912
1101,1101,14623.000,120.926
1102,1102,14601.000,120.835
1103,1103,14601.000,120.835
1104,1104,14545.000,120.603
1105,1105,14396.000,119.983
1106,1106,14762.000,121.499
1107,1107,14230.000,119.290
1108,1108,14177.000,119.067
1109,1109,14252.000,119.382
1110,1110,13804.000,117.490
1111,1111,14065.000,118.596
1112,1112,14076.000,118.642
1113,1113,13845.000,117.665
1114,1114,14143.000,118.924
1115,1115,13792.000,117.439
1116,1116,14228.000,119.281
1117,1117,13571.000,116.495
1118,1118,13868.000,117.762
1119,1119,13591.000,116.580
1120,1120,13381.000,115.676
1121,1121,13628.000,116.739
1122,1122,13580.000,116.533
1123,1123,14040.000,118.491
1124,1124,14519.000,120.495
1125,1125,14724.000,121.342
1126,1126,14724.000,121.342
1127,1127,14589.000,120.785
1128,1128,14304.000,119.599
1129,1129,14786.000,121.598
1130,1130,14415.000,120.062
1131,1131,14789.000,121.610
1132,1132,14457.000,120.237
1133,1133,14713.000,121.297
1134,1134,14605.000,120.851
1135,1135,14562.000,120.673
1136,1136,14772.000,121.540
1137,1137,14549.000,120.619
1138,1138,14589.000,120.785
1139,1139,14159.000,118.992
1140,1140,14315.000,119.645
1141,1141,14465.000,120.271
1142,1142,13817.000,117.546
1143,1143,13828.000,117.593
1144,1144,13917.000,117.970
1145,1145,13972.000,118.203
1146,1146,13793.000,117.444
1147,1147,13650.000,116.833
1148,1148,13912.000,117.949
1149,1149,13443.000,115.944
1150,1150,13802.000,117.482
1151,1151,13855.000,117.707
1152,1152,14000.000,118.322
1153,1153,13730.000,117.175
1154,1154,13616.000,116.688
1155,1155,13238.000,115.057
1156,1156,13471.000,116.065
1157,1157,13289.000,115.278
1158,1158,13505.000,116.211
1159,1159,13257.000,115.139
1160,1160,13205.000,114.913
1161,1161,13034.000,114.167
1162,1162,13326.000,115.438
1163,1163,13169.000,114.756
1164,1164,13125.000,114.564
1165,1165,12614.000,112.312
1166,1166,12580.000,112.161
1167,1167,13041.000,114.197
1168,1168,12904.000,113.596
1169,1169,13180.000,114.804
1170,1170,12785.000,113.071
1171,1171,12861.000,113.406
1172,1172,12583.000,112.174
1173,1173,12729.000,112.823
1174,1174,12536.000,111.964
1175,1175,12334.000,111.059
1176,1176,12265.000,110.747
1177,1177,12749.000,112.911
1178,1178,12059.000,109.813
1179,1179,11809.000,108.669
1180,1180,12307.000,110.937
1181,1181,12068.000,109.854
1182,1182,12083.000,109.923
1183,1183,11915.000,109.156
1184,1184,11711.000,108.217
1185,1185,11801.000,108.632
1186,1186,12286.000,110.842
1187,1187,11974.000,109.426
1188,1188,11638.000,107.880
1189,1189,11652.000,107.944
1190,1190,11736.000,108.333
1191,1191,11305.000,106.325
1192,1192,11655.000,107.958
1193,1193,11785.000,108.559
1194,1194,11753.000,108.411
1195,1195,11456.000,107.033
1196,1196,11238.000,106.009
1197,1197,11160.000,105.641
1198,1198,11369.000,106.626
1199,1199,11287.000,106.240
1200,1200,11465.000,107.075
1201,1201,11151.000,105.598
1202,1202,11066.000,105.195
1203,1203,11630.000,107.842
1204,1204,11091.000,105.314
1205,1205,11080.000,105.262
1206,1206,10944.000,104.614
1207,1207,10957.000,104.676
1208,1208,10759.000,103.726
1209,1209,10790.000,103.875
1210,1210,10927.000,104.532
1211,1211,11053.000,105.133
1212,1212,10681.000,103.349
1213,1213,10603.000,102.971
1214,1214,10327.000,101.622
1215,1215,10781.000,103.832
1216,1216,10816.000,104.000
1217,1217,10517.000,102.552
1218,1218,10489.000,102.416
1219,1219,10512.000,102.528
1220,1220,10319.000,101.582
1221,1221,10470.000,102.323
1222,1222,10180.000,100.896
1223,1223,10290.000,101.440
1224,1224,10258.000,101.282
1225,1225,9922.000,99.609
1226,1226,10185.000,100.921
1227,1227,10455.000,102.250
1228,1228,10132.000,100.658
1229,1229,10003.000,100.015
1230,1230,9905.000,99.524
1231,1231,10098.000,100.489
1232,1232,10095.000,100.474
1233,1233,9997.000,99.985
1234,1234,10132.000,100.658
1235,1235,9691.000,98.443
1236,1236,9882.000,99.408
1237,1237,9739.000,98.686
1238,1238,9707.000,98.524
1239,1239,9622.000,98.092
1240,1240,9615.000,98.056
1241,1241,9555.000,97.750
1242,1242,9481.000,97.370
1243,1243,9287.000,96.369
1244,1244,9383.000,96.866
1245,1245,9349.000,96.690
1246,1246,9322.000,96.551
1247,1247,9265.000,96.255
1248,1248,9260.000,96.229
1249,1249,9215.000,95.995
1250,1250,9032.000,95.037
1251,1251,9081.000,95.294
1252,1252,9136.000,95.582
1253,1253,9012.000,94.932
1254,1254,9097.000,95.378
1255,1255,9347.000,96.680
1256,1256,9073.000,95.252
1257,1257,9180.000,95.812
1258,1258,9200.000,95.917
1259,1259,8975.000,94.736
1260,1260,9152.000,95.666
1261,1261,9379.000,96.845
1262,1262,9228.000,96.062
1263,1263,8934.000,94.520
1264,1264,8955.000,94.631
1265,1265,8865.000,94.154
1266,1266,8833.000,93.984
1267,1267,9090.000,95.341
1268,1268,9066.000,95.216
1269,1269,8711.000,93.333
1270,1270,8722.000,93.392
1271,1271,8901.000,94.345
1272,1272,8736.000,93.467
1273,1273,8780.000,93.702
1274,1274,8616.000,92.822
1275,1275,8384.000,91.564
1276,1276,8703.000,93.290
1277,1277,8675.000,93.140
1278,1278,8688.000,93.209
1279,1279,8551.000,92.472
1280,1280,8570.000,92.574
1281,1281,8497.000,92.179
1282,1282,8331.000,91.274
1283,1283,8426.000,91.793
1284,1284,8426.000,91.793
1285,1285,8571.000,92.580
1286,1286,8456.000,91.957
1287,1287,8513.000,92.266
1288,1288,8397.000,91.635
1289,1289,8368.000,91.477
1290,1290,8239.000,90.769
1291,1291,8231.000,90.725
1292,1292,8172.000,90.399
1293,1293,8125.000,90.139
1294,1294,8203.000,90.570
1295,1295,8509.000,92.244
1296,1296,8397.000,91.635
1297,1297,9027.000,95.011
1298,1298,9110.000,95.446
1299,1299,9233.000,96.089
1300,1300,9095.000,95.368
1301,1301,9385.000,96.876
1302,1302,9438.000,97.149
1303,1303,9256.000,96.208
1304,1304,9543.000,97.688
1305,1305,9356.000,96.726
1306,1306,9435.000,97.134
1307,1307,9485.000,97.391
1308,1308,9533.000,97.637
1309,1309,9362.000,96.757
1310,1310,9260.000,96.229
1311,1311,8879.000,94.228
