 ,stack,counts,err
1375,1375,1534.000,39.166
1376,1376,1688.000,41.085
1377,1377,1660.000,40.743
1378,1378,1510.000,38.859
1379,1379,1560.000,39.497
1380,1380,1584.000,39.799
1381,1381,1585.000,39.812
1382,1382,1551.000,39.383
1383,1383,1578.000,39.724
1384,1384,1470.000,38.341
1385,1385,1514.000,38.910
1386,1386,1620.000,40.249
1387,1387,1503.000,38.769
1388,1388,1523.000,39.026
1389,1389,1484.000,38.523
1390,1390,1501.000,38.743
1391,1391,1513.000,38.897
1392,1392,1495.000,38.665
1393,1393,1506.000,38.807
1394,1394,1520.000,38.987
1395,1395,1424.000,37.736
1396,1396,1464.000,38.262
1397,1397,1322.000,36.359
1398,1398,1423.000,37.723
1399,1399,1430.000,37.815
1400,1400,1449.000,38.066
1401,1401,1531.000,39.128
1402,1402,1425.000,37.749
1403,1403,1518.000,38.962
1404,1404,1432.000,37.842
1405,1405,1389.000,37.269
1406,1406,1428.000,37.789
1407,1407,1346.000,36.688
1408,1408,1331.000,36.483
1409,1409,1301.000,36.069
1410,1410,1304.000,36.111
1411,1411,1359.000,36.865
1412,1412,1370.000,37.014
1413,1413,1335.000,36.538
1414,1414,1436.000,37.895
1415,1415,1297.000,36.014
1416,1416,1287.000,35.875
1417,1417,1391.000,37.296
1418,1418,1289.000,35.903
1419,1419,1350.000,36.742
1420,1420,1315.000,36.263
1421,1421,1230.000,35.071
1422,1422,1239.000,35.199
1423,1423,1235.000,35.143
1424,1424,1171.000,34.220
1425,1425,1350.000,36.742
1426,1426,1305.000,36.125
1427,1427,1289.000,35.903
1428,1428,1234.000,35.128
1429,1429,1234.000,35.128
1430,1430,1270.000,35.637
1431,1431,1246.000,35.299
1432,1432,1300.000,36.056
1433,1433,1239.000,35.199
1434,1434,1386.000,37.229
1435,1435,1204.000,34.699
1436,1436,1329.000,36.455
1437,1437,1239.000,35.199
1438,1438,1159.000,34.044
1439,1439,1273.000,35.679
1440,1440,1216.000,34.871
1441,1441,1239.000,35.199
1442,1442,1223.000,34.971
1443,1443,1246.000,35.299
1444,1444,1190.000,34.496
1445,1445,1176.000,34.293
1446,1446,1175.000,34.278
1447,1447,1216.000,34.871
1448,1448,1256.000,35.440
1449,1449,1151.000,33.926
1450,1450,1062.000,32.588
1451,1451,1077.000,32.818
1452,1452,1101.000,33.181
1453,1453,1179.000,34.337
1454,1454,1144.000,33.823
1455,1455,1150.000,33.912
1456,1456,1128.000,33.586
1457,1457,1226.000,35.014
1458,1458,1114.000,33.377
1459,1459,1090.000,33.015
1460,1460,1007.000,31.733
1461,1461,1031.000,32.109
1462,1462,1074.000,32.772
1463,1463,1013.000,31.828
1464,1464,964.000,31.048
1465,1465,1112.000,33.347
1466,1466,1062.000,32.588
