 ,stack,counts,err
1,1,761286.000,872.517
2,2,170125.000,412.462
3,3,133416.000,365.262
4,4,83541.000,289.035
5,5,85349.000,292.146
6,6,73826.000,271.709
7,7,70228.000,265.006
8,8,67362.000,259.542
9,9,63561.000,252.113
10,10,60454.000,245.874
11,11,60877.000,246.733
12,12,59259.000,243.432
13,13,56126.000,236.909
14,14,55137.000,234.813
15,15,44559.000,211.090
16,16,46172.000,214.877
17,17,54410.000,233.260
18,18,54885.000,234.275
19,19,53643.000,231.610
20,20,53316.000,230.903
21,21,52865.000,229.924
22,22,52653.000,229.462
23,23,52833.000,229.854
24,24,51337.000,226.577
25,25,51789.000,227.572
26,26,51465.000,226.859
27,27,51739.000,227.462
28,28,50817.000,225.426
29,29,49590.000,222.688
30,30,50807.000,225.404
31,31,50615.000,224.978
32,32,46643.000,215.970
33,33,47514.000,217.977
34,34,50176.000,224.000
35,35,50178.000,224.004
36,36,50439.000,224.586
37,37,50715.000,225.200
38,38,49272.000,221.973
39,39,49544.000,222.585
40,40,49468.000,222.414
41,41,49006.000,221.373
42,42,48832.000,220.980
43,43,48900.000,221.133
44,44,48713.000,220.710
45,45,48875.000,221.077
46,46,48902.000,221.138
47,47,48898.000,221.129
48,48,48710.000,220.703
49,49,48605.000,220.465
50,50,48709.000,220.701
51,51,48089.000,219.292
52,52,48294.000,219.759
53,53,48301.000,219.775
54,54,48021.000,219.137
55,55,48182.000,219.504
56,56,48404.000,220.009
57,57,48381.000,219.957
58,58,48318.000,219.814
59,59,48238.000,219.632
60,60,47864.000,218.778
61,61,48106.000,219.331
62,62,48275.000,219.716
63,63,47105.000,217.037
64,64,47986.000,219.057
65,65,47443.000,217.814
66,66,48251.000,219.661
67,67,48220.000,219.591
68,68,47939.000,218.950
69,69,48375.000,219.943
70,70,47573.000,218.112
71,71,48165.000,219.465
72,72,47275.000,217.428
73,73,48243.000,219.643
74,74,47653.000,218.296
75,75,47238.000,217.343
76,76,47368.000,217.642
77,77,47925.000,218.918
78,78,47960.000,218.998
79,79,47361.000,217.626
80,80,47914.000,218.893
81,81,47642.000,218.270
82,82,48686.000,220.649
83,83,47277.000,217.433
84,84,48087.000,219.287
85,85,47967.000,219.014
86,86,48236.000,219.627
87,87,48674.000,220.622
88,88,48414.000,220.032
89,89,48648.000,220.563
90,90,48615.000,220.488
91,91,48422.000,220.050
92,92,48135.000,219.397
93,93,48246.000,219.650
94,94,48335.000,219.852
95,95,49088.000,221.558
96,96,48899.000,221.131
97,97,49012.000,221.387
98,98,48896.000,221.124
99,99,48901.000,221.136
100,100,48906.000,221.147
101,101,48965.000,221.280
102,102,49696.000,222.926
103,103,48720.000,220.726
104,104,48529.000,220.293
105,105,49391.000,222.241
106,106,49188.000,221.784
107,107,47732.000,218.477
108,108,48630.000,220.522
109,109,48036.000,219.171
110,110,47801.000,218.634
111,111,48124.000,219.372
112,112,47644.000,218.275
113,113,48379.000,219.952
114,114,47535.000,218.025
115,115,47862.000,218.774
116,116,47518.000,217.986
117,117,47833.000,218.708
118,118,48210.000,219.568
119,119,47161.000,217.166
120,120,47150.000,217.141
121,121,47336.000,217.568
122,122,47099.000,217.023
123,123,47144.000,217.127
124,124,48340.000,219.864
125,125,46969.000,216.723
126,126,47899.000,218.858
127,127,47500.000,217.945
128,128,47058.000,216.929
129,129,47606.000,218.188
130,130,47274.000,217.426
131,131,47428.000,217.780
132,132,47507.000,217.961
133,133,47977.000,219.037
134,134,47829.000,218.698
135,135,47643.000,218.273
136,136,48370.000,219.932
137,137,48487.000,220.198
138,138,48565.000,220.375
139,139,48754.000,220.803
140,140,47994.000,219.075
141,141,49269.000,221.966
142,142,48945.000,221.235
143,143,49146.000,221.689
144,144,49222.000,221.860
145,145,50683.000,225.129
146,146,49425.000,222.317
147,147,50046.000,223.710
148,148,50910.000,225.632
149,149,50589.000,224.920
150,150,50654.000,225.064
151,151,51375.000,226.661
152,152,50903.000,225.617
153,153,52128.000,228.316
154,154,52669.000,229.497
155,155,52699.000,229.563
156,156,52921.000,230.046
157,157,53608.000,231.534
158,158,53571.000,231.454
159,159,54414.000,233.268
160,160,54590.000,233.645
