 ,stack,counts,err
1436,1436,339.000,18.412
1437,1437,297.000,17.234
1438,1438,338.000,18.385
1439,1439,319.000,17.861
1440,1440,347.000,18.628
1441,1441,342.000,18.493
1442,1442,294.000,17.146
1443,1443,308.000,17.550
1444,1444,369.000,19.209
1445,1445,310.000,17.607
1446,1446,309.000,17.578
1447,1447,312.000,17.664
1448,1448,298.000,17.263
1449,1449,315.000,17.748
1450,1450,350.000,18.708
1451,1451,292.000,17.088
1452,1452,275.000,16.583
1453,1453,334.000,18.276
1454,1454,345.000,18.574
1455,1455,311.000,17.635
1456,1456,315.000,17.748
1457,1457,306.000,17.493
1458,1458,294.000,17.146
1459,1459,305.000,17.464
1460,1460,310.000,17.607
1461,1461,289.000,17.000
1462,1462,328.000,18.111
1463,1463,278.000,16.673
1464,1464,276.000,16.613
1465,1465,335.000,18.303
1466,1466,324.000,18.000
1467,1467,291.000,17.059
1468,1468,356.000,18.868
1469,1469,247.000,15.716
1470,1470,276.000,16.613
1471,1471,300.000,17.321
1472,1472,295.000,17.176
1473,1473,279.000,16.703
1474,1474,309.000,17.578
1475,1475,290.000,17.029
1476,1476,284.000,16.852
1477,1477,295.000,17.176
1478,1478,235.000,15.330
1479,1479,277.000,16.643
1480,1480,265.000,16.279
1481,1481,282.000,16.793
1482,1482,289.000,17.000
1483,1483,311.000,17.635
1484,1484,229.000,15.133
1485,1485,183.000,13.528
1486,1486,236.000,15.362
1487,1487,282.000,16.793
1488,1488,264.000,16.248
1489,1489,275.000,16.583
1490,1490,270.000,16.432
1491,1491,291.000,17.059
1492,1492,260.000,16.125
1493,1493,256.000,16.000
1494,1494,236.000,15.362
1495,1495,238.000,15.427
1496,1496,239.000,15.460
1497,1497,273.000,16.523
1498,1498,314.000,17.720
1499,1499,269.000,16.401
1500,1500,276.000,16.613
1501,1501,274.000,16.553
1502,1502,262.000,16.186
1503,1503,208.000,14.422
1504,1504,262.000,16.186
1505,1505,270.000,16.432
1506,1506,302.000,17.378
1507,1507,262.000,16.186
1508,1508,291.000,17.059
1509,1509,197.000,14.036
