alpha_mtex,beta_mtex,gamma_mtex,volume_mtex,xh_mtex,xk_mtex,xl_mtex,yh_mtex,yk_mtex,yl_mtex,zh_mtex,zk_mtex,zl_mtex,alpha,alpha_e,beta,beta_e,gamma,gamma_e,intensity,intensity_e,fwhm,fwhm_e,volume,xh,xk,xl,yh,yk,yl,zh,zk,zl
289.72674177,35.96254728,93.53748033,0.08965355,2.64315179,-0.94753028,0.56783894,1.09976362,2.11879441,-1.58358338,0.10380118,1.67910771,2.31869116,289.75555,0.55072033,35.95828,0.311386,94.1008,0.53103846,0.05433633,0.27319807,12.587233,0.49467206,0.0519221231310376,2.63314151306547,-0.974572919324507,0.568576720496547,1.1218741714969,2.10750742938969,-1.58313513901859,0.12029216724057,1.67783376708975,2.31881645123412
347.55678233,45.14846774,357.8898998,0.08728414,1.94886872,0.68948715,1.98318538,-0.53804307,2.77948231,-0.43760006,-2.02951384,-0.07477714,2.02039304,342.9151,0.6595233,45.718937,0.6205556,355.09268,0.7038831,0.06671697,0.32318628,17.831007,0.69650006,0.0637526813325401,1.8328069433388,1.00207494845238,1.96040062133567,-0.819688427801177,2.67797901184394,-0.602532475018716,-2.04338828414424,-0.175443152637857,2.00007252628862
150.22267001,23.48098981,215.09889918,0.05926943,2.68389571,-0.14729908,-0.99071333,0.36207557,2.78461305,0.56686643,0.93386894,-0.65630728,2.62748085,148.01411,0.7518216,24.65968,0.29596865,215.26717,0.7796536,0.061206494,0.2921712,13.598535,0.43704072,0.0584870402157656,2.67908161670369,-0.036024960733015,-1.01377018265705,0.276959855211153,2.78009887296191,0.633126831809666,0.975869366074037,-0.690114880842394,2.60344512552082
254.17723591,19.80750311,136.72719024,0.05793778,2.42433767,-1.50300891,-0.26468318,1.35260485,2.34620886,-0.93395406,0.70679069,0.66541287,2.69521404,260.09756,0.5275748,20.317717,0.15904589,135.24292,0.6087357,0.0134827895,0.08657032,4.833977,0.18559512,0.0128837383122648,2.31505356634259,-1.67862200754753,-0.171059143986876,1.53235989260915,2.21319175141462,-0.979878319483164,0.706332948748188,0.700368843715483,2.68646297913545
64.53536881,33.10222581,301.4022972,0.05341139,2.74517108,-0.46696888,0.67266774,0.07761988,2.49103731,1.41252058,-0.81517911,-1.33535737,2.39975203,38.05943,1.1377249,45.851295,0.962216,335.1323,1.1627451,0.104414575,0.39797902,26.537573,1.3573879,0.0997753514053113,2.16805571308469,-0.941610617083515,1.61845913162997,0.167498364287234,2.56372654461055,1.26718451396012,-1.86493560556979,-0.864396749331494,1.99532943065129
103.83360122,17.91238661,229.57006674,0.02149909,2.5400341,1.30780432,-0.21066734,-1.19509168,2.45893303,0.85551759,0.57139193,-0.67067304,2.72584208,75.93735,9.040092,57.735027,6.760311,256.77634,10.023692,0.044315737,0.13640098,15.0795555,12.819306,0.0423467531420815,2.62016237549726,0.997404631387826,0.588590874304602,-1.01695869247663,1.28488413046971,2.34976038758494,0.554121136417635,-2.35812698185514,1.5292785860078
315.15350794,28.66543,73.215351,0.01392312,2.44878276,-1.12281991,0.97429181,1.43265337,2.28361217,-0.96908507,-0.39682921,1.31563558,2.5135902,319.69052,0.32452133,28.668653,0.16765943,70.88182,0.28763855,0.014714803,0.08367921,3.701335,0.20050049,0.0140610124609991,2.37876157969901,-1.20402929974467,1.04800423773201,1.53146867741218,2.25181341159193,-0.889070379373932,-0.450114571029702,1.29852065625892,2.51351289398237
