 ,stack,counts,err
246,246,126055.000,355.042
247,247,127628.000,357.251
248,248,126592.000,355.798
249,249,126795.000,356.083
250,250,127374.000,356.895
251,251,126956.000,356.309
252,252,125205.000,353.843
253,253,124442.000,352.763
254,254,123064.000,350.805
255,255,123664.000,351.659
256,256,122396.000,349.851
257,257,122078.000,349.397
258,258,122077.000,349.395
259,259,123294.000,351.132
260,260,124003.000,352.141
261,261,123534.000,351.474
262,262,123489.000,351.410
263,263,123828.000,351.892
264,264,121585.000,348.690
265,265,121883.000,349.117
266,266,120577.000,347.242
267,267,122192.000,349.560
268,268,120863.000,347.654
269,269,121137.000,348.047
270,270,119638.000,345.887
271,271,118711.000,344.545
272,272,118835.000,344.725
273,273,118028.000,343.552
274,274,119475.000,345.652
275,275,120856.000,347.643
276,276,122828.000,350.468
277,277,124351.000,352.634
278,278,125940.000,354.880
279,279,126270.000,355.345
280,280,125467.000,354.213
281,281,124414.000,352.724
282,282,125314.000,353.997
283,283,125335.000,354.027
284,284,125368.000,354.073
285,285,124532.000,352.891
286,286,124017.000,352.160
287,287,122131.000,349.472
288,288,121738.000,348.910
289,289,121814.000,349.019
290,290,123355.000,351.219
291,291,121820.000,349.027
292,292,121928.000,349.182
293,293,121512.000,348.586
294,294,120687.000,347.400
295,295,120746.000,347.485
296,296,120182.000,346.673
297,297,118925.000,344.855
298,298,117992.000,343.500
299,299,117757.000,343.157
300,300,116522.000,341.353
301,301,116430.000,341.218
302,302,115762.000,340.238
303,303,115397.000,339.701
304,304,113968.000,337.591
305,305,112530.000,335.455
306,306,112418.000,335.288
307,307,112739.000,335.766
308,308,111550.000,333.991
309,309,109490.000,330.893
310,310,109761.000,331.302
311,311,109989.000,331.646
312,312,109268.000,330.557
313,313,109195.000,330.447
314,314,108724.000,329.733
315,315,110744.000,332.782
316,316,111783.000,334.340
317,317,112633.000,335.608
318,318,112860.000,335.946
319,319,113143.000,336.367
320,320,112315.000,335.134
321,321,110770.000,332.821
322,322,109253.000,330.534
323,323,109942.000,331.575
324,324,108593.000,329.535
325,325,108757.000,329.783
326,326,107616.000,328.049
327,327,106214.000,325.905
328,328,106130.000,325.776
329,329,105845.000,325.338
330,330,105134.000,324.244
331,331,103442.000,321.624
332,332,103387.000,321.538
333,333,103506.000,321.723
334,334,102767.000,320.573
335,335,102236.000,319.744
336,336,101991.000,319.360
337,337,101500.000,318.591
338,338,100804.000,317.496
339,339,99841.000,315.976
340,340,98787.000,314.304
341,341,97184.000,311.743
342,342,96463.000,310.585
343,343,94316.000,307.109
344,344,93309.000,305.465
345,345,91990.000,303.299
346,346,89614.000,299.356
347,347,88934.000,298.218
348,348,87517.000,295.833
349,349,86143.000,293.501
350,350,85997.000,293.252
351,351,85470.000,292.353
352,352,84852.000,291.294
353,353,83518.000,288.995
354,354,83085.000,288.245
355,355,81115.000,284.807
356,356,80210.000,283.214
357,357,79765.000,282.427
358,358,79543.000,282.034
359,359,78705.000,280.544
360,360,77160.000,277.777
361,361,75969.000,275.625
362,362,75176.000,274.182
363,363,75484.000,274.744
364,364,74510.000,272.965
365,365,73715.000,271.505
366,366,74960.000,273.788
367,367,75704.000,275.144
368,368,75129.000,274.097
369,369,75416.000,274.620
370,370,75673.000,275.087
371,371,75212.000,274.248
372,372,74546.000,273.031
373,373,74795.000,273.487
374,374,74048.000,272.118
375,375,75667.000,275.076
376,376,77050.000,277.579
377,377,79722.000,282.351
378,378,79815.000,282.515
379,379,79707.000,282.324
380,380,78955.000,280.989
381,381,78653.000,280.451
382,382,78826.000,280.760
383,383,78706.000,280.546
384,384,77707.000,278.760
385,385,77350.000,278.119
386,386,76279.000,276.187
387,387,75846.000,275.402
388,388,75234.000,274.288
389,389,74272.000,272.529
390,390,73696.000,271.470
391,391,72410.000,269.091
392,392,71731.000,267.826
393,393,72056.000,268.432
394,394,71136.000,266.713
395,395,70673.000,265.844
396,396,70026.000,264.624
397,397,69421.000,263.479
398,398,68829.000,262.353
399,399,67378.000,259.573
400,400,67417.000,259.648
401,401,65827.000,256.568
402,402,65517.000,255.963
403,403,64554.000,254.075
404,404,63558.000,252.107
405,405,63637.000,252.264
406,406,62248.000,249.495
407,407,61224.000,247.435
408,408,61054.000,247.091
409,409,60901.000,246.781
410,410,60988.000,246.957
411,411,60285.000,245.530
412,412,59912.000,244.769
413,413,59849.000,244.641
414,414,59352.000,243.623
415,415,59151.000,243.210
416,416,58471.000,241.808
417,417,57621.000,240.044
418,418,56563.000,237.830
419,419,56347.000,237.375
420,420,55887.000,236.404
421,421,55819.000,236.260
422,422,55153.000,234.847
423,423,55081.000,234.693
424,424,53962.000,232.297
425,425,53880.000,232.121
426,426,53555.000,231.420
427,427,52508.000,229.146
428,428,52509.000,229.148
429,429,52785.000,229.750
430,430,51701.000,227.379
431,431,50881.000,225.568
432,432,51222.000,226.323
433,433,51096.000,226.044
434,434,50440.000,224.589
435,435,49838.000,223.244
436,436,49268.000,221.964
437,437,49424.000,222.315
438,438,49602.000,222.715
439,439,47944.000,218.961
440,440,48525.000,220.284
441,441,47845.000,218.735
442,442,46737.000,216.187
443,443,47054.000,216.919
444,444,46140.000,214.802
445,445,46075.000,214.651
446,446,44857.000,211.795
447,447,44935.000,211.979
448,448,44154.000,210.129
449,449,43872.000,209.456
450,450,42969.000,207.290
451,451,42267.000,205.589
452,452,41343.000,203.330
453,453,41104.000,202.741
454,454,40970.000,202.410
455,455,40680.000,201.693
456,456,40403.000,201.005
